player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,def_actions_outside_pen_area_gk,Team,matchweek
Yann Sommer,9.0,1.0,8.0,88.9,2.1,10.0,30.0,4.0,66.7,1.0,Mönchengladbach,1.0
Manuel Neuer,4.0,1.0,3.0,75.0,0.4,6.0,44.0,9.0,18.2,2.0,Bayern Munich,1.0
Florian Müller,3.0,1.0,2.0,66.7,0.8,5.0,23.0,5.0,34.8,0.0,Stuttgart,1.0
Sascha Burchert,15.0,5.0,10.0,66.7,4.5,7.0,26.0,5.0,46.2,1.0,Greuther Fürth,1.0
Andreas Luthe,3.0,1.0,2.0,66.7,0.5,2.0,23.0,4.0,39.1,1.0,Union Berlin,1.0
Lukáš Hrádecký,5.0,1.0,4.0,80.0,0.8,8.0,33.0,3.0,39.4,1.0,Bayer Leverkusen,1.0
Koen Casteels,1.0,0.0,1.0,100.0,0.1,3.0,17.0,5.0,29.4,1.0,Wolfsburg,1.0
Manuel Riemann,7.0,1.0,6.0,85.7,3.5,21.0,53.0,6.0,64.2,5.0,Bochum,1.0
Stefan Ortega,6.0,0.0,6.0,100.0,1.2,21.0,61.0,2.0,59.0,1.0,Arminia,1.0
Mark Flekken,3.0,0.0,3.0,100.0,0.9,8.0,22.0,3.0,54.5,0.0,Freiburg,1.0
Rafał Gikiewicz,8.0,4.0,4.0,50.0,3.6,11.0,31.0,4.0,35.5,2.0,Augsburg,1.0
Oliver Baumann,0.0,0.0,0.0,0.0,0.0,6.0,39.0,9.0,25.6,1.0,Hoffenheim,1.0
Gregor Kobel,3.0,2.0,2.0,33.3,1.8,11.0,49.0,2.0,30.6,2.0,Dortmund,1.0
Kevin Trapp,7.0,5.0,2.0,28.6,3.5,11.0,35.0,5.0,48.6,2.0,Eintracht Frankfurt,1.0
Robin Zentner,2.0,0.0,2.0,100.0,0.6,5.0,23.0,7.0,60.9,2.0,Mainz 05,1.0
Péter Gulácsi,2.0,1.0,1.0,50.0,1.4,3.0,11.0,2.0,27.3,1.0,RB Leipzig,1.0
Timo Horn,5.0,1.0,4.0,80.0,1.7,10.0,27.0,1.0,25.9,0.0,Köln,1.0
Alexander Schwolow,5.0,3.0,2.0,40.0,2.4,8.0,18.0,3.0,50.0,0.0,Hertha BSC,1.0
Péter Gulácsi,5.0,0.0,5.0,100.0,1.0,4.0,34.0,8.0,47.1,0.0,RB Leipzig,2.0
Florian Müller,11.0,4.0,8.0,72.7,3.6,6.0,20.0,6.0,40.0,0.0,Stuttgart,2.0
Alexander Schwolow,3.0,2.0,1.0,33.3,1.1,2.0,22.0,3.0,45.5,1.0,Hertha BSC,2.0
Koen Casteels,4.0,1.0,4.0,100.0,1.2,4.0,33.0,1.0,24.2,2.0,Wolfsburg,2.0
Manuel Riemann,3.0,0.0,3.0,100.0,0.8,19.0,34.0,1.0,79.4,1.0,Bochum,2.0
Robin Zentner,4.0,2.0,2.0,50.0,1.6,1.0,24.0,7.0,16.7,2.0,Mainz 05,2.0
Sascha Burchert,2.0,1.0,0.0,50.0,0.6,7.0,30.0,6.0,33.3,1.0,Greuther Fürth,2.0
Stefan Ortega,4.0,1.0,4.0,100.0,1.4,21.0,42.0,1.0,78.6,0.0,Arminia,2.0
Mark Flekken,3.0,1.0,3.0,66.7,0.5,5.0,20.0,2.0,45.0,0.0,Freiburg,2.0
Gregor Kobel,4.0,2.0,2.0,50.0,1.2,1.0,35.0,6.0,8.6,3.0,Dortmund,2.0
Kevin Trapp,0.0,0.0,0.0,0.0,0.0,9.0,35.0,5.0,45.7,3.0,Eintracht Frankfurt,2.0
Rafał Gikiewicz,5.0,0.0,5.0,100.0,0.6,7.0,30.0,2.0,50.0,1.0,Augsburg,2.0
Lukáš Hrádecký,5.0,0.0,5.0,100.0,1.3,6.0,34.0,5.0,32.4,1.0,Bayer Leverkusen,2.0
Yann Sommer,5.0,4.0,2.0,20.0,2.9,4.0,19.0,2.0,26.3,0.0,Mönchengladbach,2.0
Oliver Baumann,8.0,2.0,6.0,75.0,3.3,3.0,34.0,5.0,23.5,2.0,Hoffenheim,2.0
Andreas Luthe,3.0,2.0,1.0,33.3,1.2,14.0,32.0,6.0,65.6,0.0,Union Berlin,2.0
Manuel Neuer,3.0,2.0,1.0,33.3,1.4,15.0,54.0,8.0,42.6,0.0,Bayern Munich,2.0
Timo Horn,6.0,3.0,3.0,50.0,2.4,4.0,28.0,3.0,35.7,2.0,Köln,2.0
Gregor Kobel,5.0,2.0,3.0,60.0,2.5,0.0,18.0,5.0,22.2,1.0,Dortmund,3.0
Oliver Baumann,13.0,3.0,10.0,76.9,3.8,5.0,33.0,7.0,45.5,1.0,Hoffenheim,3.0
Robin Zentner,1.0,0.0,1.0,100.0,0.1,4.0,18.0,1.0,38.9,2.0,Mainz 05,3.0
Sascha Burchert,9.0,3.0,6.0,66.7,3.3,9.0,40.0,3.0,60.0,1.0,Greuther Fürth,3.0
Florian Müller,7.0,3.0,4.0,57.1,1.7,4.0,26.0,3.0,26.9,1.0,Stuttgart,3.0
Mark Flekken,7.0,2.0,5.0,71.4,2.9,13.0,31.0,4.0,61.3,0.0,Freiburg,3.0
Stefan Ortega,3.0,1.0,2.0,66.7,1.7,16.0,42.0,5.0,59.5,3.0,Arminia,3.0
Kevin Trapp,4.0,1.0,3.0,75.0,1.0,6.0,42.0,4.0,45.2,1.0,Eintracht Frankfurt,3.0
Rafał Gikiewicz,5.0,4.0,2.0,20.0,1.4,6.0,17.0,5.0,35.3,1.0,Augsburg,3.0
Lukáš Hrádecký,4.0,1.0,3.0,75.0,1.6,11.0,44.0,9.0,29.5,2.0,Bayer Leverkusen,3.0
Timo Horn,1.0,1.0,0.0,0.0,0.8,3.0,15.0,2.0,26.7,2.0,Köln,3.0
Manuel Riemann,5.0,2.0,3.0,60.0,1.8,18.0,27.0,1.0,81.5,1.0,Bochum,3.0
Manuel Neuer,3.0,0.0,3.0,100.0,0.1,5.0,35.0,5.0,20.0,1.0,Bayern Munich,3.0
Alexander Schwolow,7.0,5.0,1.0,28.6,4.0,5.0,24.0,6.0,29.2,0.0,Hertha BSC,3.0
Andreas Luthe,5.0,1.0,4.0,80.0,1.4,13.0,25.0,1.0,88.0,2.0,Union Berlin,3.0
Yann Sommer,3.0,2.0,1.0,33.3,1.9,4.0,40.0,3.0,30.0,1.0,Mönchengladbach,3.0
Koen Casteels,2.0,0.0,2.0,100.0,0.7,10.0,34.0,4.0,32.4,0.0,Wolfsburg,3.0
Péter Gulácsi,2.0,1.0,1.0,50.0,0.9,5.0,25.0,3.0,40.0,1.0,RB Leipzig,3.0
Mark Flekken,5.0,1.0,4.0,80.0,1.4,9.0,49.0,12.0,28.6,4.0,Freiburg,4.0
Timo Horn,3.0,1.0,3.0,66.7,1.7,11.0,35.0,2.0,48.6,1.0,Köln,4.0
Oliver Baumann,5.0,2.0,3.0,60.0,2.8,8.0,42.0,10.0,31.0,6.0,Hoffenheim,4.0
Robin Zentner,0.0,0.0,0.0,0.0,0.0,9.0,25.0,7.0,72.0,1.0,Mainz 05,4.0
Andreas Luthe,6.0,0.0,6.0,100.0,1.1,2.0,13.0,5.0,0.0,0.0,Union Berlin,4.0
Rafał Gikiewicz,5.0,0.0,4.0,100.0,1.6,7.0,28.0,3.0,53.6,1.0,Augsburg,4.0
Lukáš Hrádecký,5.0,4.0,2.0,40.0,2.0,8.0,35.0,11.0,42.9,1.0,Bayer Leverkusen,4.0
Gregor Kobel,5.0,3.0,2.0,40.0,2.4,3.0,21.0,4.0,23.8,0.0,Dortmund,4.0
Sascha Burchert,2.0,2.0,1.0,50.0,1.8,8.0,19.0,3.0,73.7,1.0,Greuther Fürth,4.0
Koen Casteels,4.0,0.0,4.0,100.0,0.6,11.0,40.0,5.0,35.0,1.0,Wolfsburg,4.0
Péter Gulácsi,5.0,4.0,2.0,40.0,4.1,6.0,27.0,3.0,40.7,2.0,RB Leipzig,4.0
Manuel Neuer,4.0,1.0,3.0,75.0,0.9,11.0,43.0,10.0,48.8,2.0,Bayern Munich,4.0
Kevin Trapp,3.0,1.0,2.0,66.7,1.1,3.0,18.0,1.0,27.8,0.0,Eintracht Frankfurt,4.0
Florian Müller,4.0,1.0,3.0,75.0,0.5,7.0,27.0,6.0,44.4,3.0,Stuttgart,4.0
Manuel Riemann,4.0,3.0,1.0,25.0,1.9,12.0,42.0,2.0,59.5,2.0,Bochum,4.0
Alexander Schwolow,5.0,1.0,4.0,80.0,1.8,13.0,27.0,4.0,66.7,1.0,Hertha BSC,4.0
Yann Sommer,7.0,1.0,6.0,85.7,1.6,8.0,51.0,9.0,35.3,0.0,Mönchengladbach,4.0
Stefan Ortega,4.0,3.0,1.0,25.0,2.0,11.0,30.0,2.0,40.0,0.0,Arminia,4.0
Alexander Schwolow,2.0,1.0,2.0,100.0,1.3,5.0,23.0,7.0,26.1,0.0,Hertha BSC,5.0
Sascha Burchert,3.0,2.0,2.0,33.3,0.7,14.0,26.0,0.0,76.9,0.0,Greuther Fürth,5.0
Rafał Gikiewicz,0.0,0.0,0.0,0.0,0.0,7.0,26.0,6.0,65.4,0.0,Augsburg,5.0
Yann Sommer,1.0,1.0,0.0,0.0,0.7,6.0,31.0,3.0,25.8,4.0,Mönchengladbach,5.0
Stefan Ortega,3.0,0.0,3.0,100.0,0.7,18.0,59.0,4.0,37.3,1.0,Arminia,5.0
Oliver Baumann,2.0,0.0,2.0,100.0,0.8,9.0,36.0,4.0,30.6,0.0,Hoffenheim,5.0
Manuel Neuer,2.0,0.0,2.0,100.0,0.3,4.0,40.0,6.0,10.0,1.0,Bayern Munich,5.0
Manuel Riemann,14.0,7.0,8.0,50.0,4.9,14.0,33.0,2.0,66.7,0.0,Bochum,5.0
Robin Zentner,1.0,0.0,1.0,100.0,0.6,1.0,22.0,3.0,22.7,0.0,Mainz 05,5.0
Mark Flekken,3.0,0.0,3.0,100.0,0.9,11.0,41.0,6.0,61.0,1.0,Freiburg,5.0
Timo Horn,9.0,1.0,8.0,88.9,2.7,10.0,40.0,7.0,30.0,0.0,Köln,5.0
Péter Gulácsi,6.0,1.0,5.0,83.3,2.2,6.0,29.0,2.0,51.7,4.0,RB Leipzig,5.0
Florian Müller,4.0,3.0,1.0,25.0,2.2,4.0,17.0,1.0,35.3,1.0,Stuttgart,5.0
Lukáš Hrádecký,6.0,1.0,5.0,83.3,1.5,5.0,25.0,5.0,64.0,1.0,Bayer Leverkusen,5.0
Gregor Kobel,4.0,2.0,3.0,75.0,1.2,6.0,38.0,3.0,31.6,1.0,Dortmund,5.0
Andreas Luthe,5.0,4.0,2.0,20.0,2.1,2.0,22.0,3.0,40.9,1.0,Union Berlin,5.0
Koen Casteels,2.0,1.0,1.0,50.0,1.3,12.0,50.0,2.0,40.0,1.0,Wolfsburg,5.0
Kevin Trapp,6.0,1.0,5.0,83.3,1.8,6.0,20.0,4.0,50.0,1.0,Eintracht Frankfurt,5.0
Sascha Burchert,4.0,3.0,2.0,25.0,1.4,6.0,28.0,6.0,50.0,3.0,Greuther Fürth,6.0
Manuel Neuer,5.0,1.0,4.0,80.0,1.2,3.0,46.0,14.0,13.0,3.0,Bayern Munich,6.0
Kevin Trapp,2.0,1.0,1.0,50.0,0.9,7.0,21.0,3.0,71.4,0.0,Eintracht Frankfurt,6.0
Timo Horn,3.0,1.0,2.0,66.7,0.8,5.0,29.0,2.0,20.7,1.0,Köln,6.0
Oliver Baumann,3.0,1.0,2.0,66.7,0.6,2.0,45.0,7.0,26.7,0.0,Hoffenheim,6.0
Koen Casteels,3.0,3.0,0.0,0.0,2.0,5.0,40.0,1.0,15.0,1.0,Wolfsburg,6.0
Lukáš Hrádecký,5.0,0.0,5.0,100.0,1.3,7.0,29.0,2.0,37.9,1.0,Bayer Leverkusen,6.0
Robin Zentner,9.0,1.0,8.0,88.9,2.1,6.0,22.0,5.0,45.5,2.0,Mainz 05,6.0
Andreas Luthe,2.0,0.0,2.0,100.0,0.2,2.0,35.0,12.0,17.1,1.0,Union Berlin,6.0
Stefan Ortega,4.0,1.0,3.0,75.0,0.9,12.0,50.0,4.0,54.0,3.0,Arminia,6.0
Péter Gulácsi,2.0,0.0,2.0,100.0,0.1,7.0,36.0,2.0,30.6,1.0,RB Leipzig,6.0
Alexander Schwolow,8.0,6.0,3.0,37.5,4.9,7.0,29.0,8.0,24.1,2.0,Hertha BSC,6.0
Yann Sommer,0.0,0.0,0.0,0.0,0.0,7.0,40.0,6.0,20.0,0.0,Mönchengladbach,6.0
Gregor Kobel,3.0,1.0,2.0,66.7,1.0,4.0,28.0,3.0,35.7,0.0,Dortmund,6.0
Manuel Riemann,3.0,0.0,3.0,100.0,0.5,14.0,52.0,2.0,53.8,3.0,Bochum,6.0
Florian Müller,4.0,0.0,4.0,100.0,0.3,3.0,30.0,5.0,26.7,0.0,Stuttgart,6.0
Mark Flekken,2.0,0.0,2.0,100.0,0.3,13.0,35.0,1.0,51.4,1.0,Freiburg,6.0
Rafał Gikiewicz,6.0,3.0,4.0,66.7,2.9,6.0,30.0,6.0,33.3,0.0,Augsburg,6.0
Timo Horn,3.0,1.0,2.0,66.7,0.8,8.0,39.0,3.0,28.2,2.0,Köln,7.0
Marius Funk,8.0,3.0,5.0,62.5,3.5,14.0,26.0,2.0,84.6,3.0,Greuther Fürth,7.0
Florian Müller,4.0,1.0,3.0,75.0,0.8,3.0,23.0,4.0,30.4,1.0,Stuttgart,7.0
Oliver Baumann,6.0,3.0,3.0,50.0,2.1,5.0,43.0,5.0,39.5,0.0,Hoffenheim,7.0
Gregor Kobel,4.0,1.0,3.0,75.0,0.6,2.0,21.0,3.0,23.8,1.0,Dortmund,7.0
Rafał Gikiewicz,3.0,2.0,2.0,66.7,1.7,5.0,15.0,3.0,53.3,1.0,Augsburg,7.0
Alexander Schwolow,6.0,2.0,4.0,66.7,2.3,3.0,26.0,11.0,19.2,0.0,Hertha BSC,7.0
Mark Flekken,3.0,1.0,2.0,66.7,0.8,5.0,28.0,2.0,53.6,0.0,Freiburg,7.0
Koen Casteels,8.0,3.0,5.0,62.5,2.3,5.0,41.0,5.0,19.5,2.0,Wolfsburg,7.0
Yann Sommer,5.0,1.0,4.0,80.0,1.7,7.0,36.0,8.0,38.9,1.0,Mönchengladbach,7.0
Péter Gulácsi,2.0,0.0,2.0,100.0,0.2,10.0,43.0,8.0,48.8,1.0,RB Leipzig,7.0
Manuel Riemann,8.0,3.0,5.0,62.5,2.4,13.0,45.0,1.0,91.1,5.0,Bochum,7.0
Robin Zentner,2.0,2.0,0.0,0.0,1.1,7.0,25.0,5.0,32.0,1.0,Mainz 05,7.0
Andreas Luthe,4.0,1.0,3.0,75.0,0.8,6.0,33.0,7.0,45.5,0.0,Union Berlin,7.0
Manuel Neuer,3.0,2.0,1.0,33.3,0.6,6.0,38.0,7.0,21.1,9.0,Bayern Munich,7.0
Kevin Trapp,10.0,1.0,9.0,90.0,1.4,10.0,31.0,5.0,80.6,1.0,Eintracht Frankfurt,7.0
Stefan Ortega,6.0,4.0,3.0,50.0,2.5,10.0,33.0,4.0,27.3,0.0,Arminia,7.0
Lukáš Hrádecký,3.0,0.0,3.0,100.0,0.7,1.0,27.0,5.0,11.1,1.0,Bayer Leverkusen,7.0
Oliver Baumann,0.0,0.0,0.0,0.0,0.0,6.0,33.0,2.0,51.5,0.0,Hoffenheim,8.0
Timo Horn,8.0,5.0,3.0,37.5,3.3,5.0,31.0,3.0,41.9,0.0,Köln,8.0
Kevin Trapp,6.0,2.0,4.0,66.7,2.6,4.0,26.0,4.0,30.8,3.0,Eintracht Frankfurt,8.0
Alexander Schwolow,4.0,1.0,4.0,100.0,2.5,9.0,36.0,3.0,52.8,0.0,Hertha BSC,8.0
Andreas Luthe,4.0,0.0,4.0,100.0,1.2,11.0,45.0,5.0,60.0,1.0,Union Berlin,8.0
Koen Casteels,3.0,2.0,1.0,33.3,1.6,7.0,30.0,4.0,40.0,0.0,Wolfsburg,8.0
Mark Flekken,2.0,1.0,2.0,100.0,1.0,6.0,37.0,6.0,29.7,2.0,Freiburg,8.0
Péter Gulácsi,3.0,1.0,2.0,66.7,1.2,12.0,21.0,3.0,52.4,3.0,RB Leipzig,8.0
Marius Funk,2.0,1.0,1.0,50.0,1.1,9.0,46.0,4.0,54.3,1.0,Greuther Fürth,8.0
Manuel Riemann,3.0,0.0,3.0,100.0,0.4,20.0,39.0,5.0,82.1,1.0,Bochum,8.0
Gregor Kobel,2.0,1.0,1.0,50.0,0.7,5.0,38.0,1.0,26.3,1.0,Dortmund,8.0
Robin Zentner,3.0,3.0,1.0,33.3,1.6,3.0,23.0,4.0,52.2,2.0,Mainz 05,8.0
Yann Sommer,2.0,1.0,1.0,50.0,0.7,4.0,39.0,3.0,23.1,1.0,Mönchengladbach,8.0
Fabian Bredlow,8.0,1.0,7.0,87.5,1.8,6.0,17.0,5.0,47.1,0.0,Stuttgart,8.0
Lukáš Hrádecký,11.0,5.0,6.0,54.5,3.1,5.0,41.0,11.0,22.0,1.0,Bayer Leverkusen,8.0
Manuel Neuer,4.0,1.0,3.0,75.0,1.3,4.0,27.0,4.0,14.8,2.0,Bayern Munich,8.0
Rafał Gikiewicz,2.0,1.0,1.0,50.0,0.5,10.0,32.0,4.0,53.1,1.0,Augsburg,8.0
Stefan Ortega,6.0,1.0,5.0,83.3,1.8,14.0,41.0,2.0,65.9,0.0,Arminia,8.0
Robin Zentner,2.0,1.0,1.0,50.0,0.8,1.0,27.0,4.0,33.3,1.0,Mainz 05,9.0
Rafał Gikiewicz,9.0,4.0,5.0,55.6,3.7,5.0,32.0,5.0,43.8,2.0,Augsburg,9.0
Manuel Neuer,1.0,0.0,1.0,100.0,0.2,5.0,52.0,2.0,25.0,3.0,Bayern Munich,9.0
Oliver Baumann,7.0,4.0,3.0,42.9,2.3,5.0,31.0,1.0,32.3,1.0,Hoffenheim,9.0
Koen Casteels,4.0,2.0,2.0,50.0,1.7,4.0,26.0,5.0,34.6,0.0,Wolfsburg,9.0
Mark Flekken,4.0,0.0,4.0,100.0,0.5,11.0,44.0,3.0,63.6,0.0,Freiburg,9.0
Péter Gulácsi,3.0,1.0,3.0,100.0,1.2,4.0,26.0,10.0,23.1,1.0,RB Leipzig,9.0
Marius Funk,4.0,4.0,1.0,25.0,3.7,5.0,32.0,4.0,40.6,4.0,Greuther Fürth,9.0
Stefan Ortega,6.0,3.0,4.0,66.7,2.1,8.0,41.0,4.0,51.2,0.0,Arminia,9.0
Gregor Kobel,2.0,0.0,2.0,100.0,0.8,2.0,23.0,2.0,21.7,0.0,Dortmund,9.0
Marwin Hitz,4.0,1.0,4.0,100.0,1.3,2.0,20.0,5.0,15.0,0.0,Dortmund,9.0
Alexander Schwolow,1.0,0.0,1.0,100.0,0.0,8.0,31.0,4.0,48.4,0.0,Hertha BSC,9.0
Yann Sommer,4.0,1.0,3.0,75.0,0.8,5.0,19.0,5.0,21.1,3.0,Mönchengladbach,9.0
Timo Horn,5.0,2.0,3.0,60.0,0.8,8.0,34.0,8.0,29.4,0.0,Köln,9.0
Lukáš Hrádecký,5.0,2.0,3.0,60.0,1.2,8.0,28.0,4.0,75.0,1.0,Bayer Leverkusen,9.0
Fabian Bredlow,3.0,1.0,2.0,66.7,0.8,2.0,24.0,3.0,12.5,3.0,Stuttgart,9.0
Andreas Luthe,2.0,1.0,1.0,50.0,0.9,6.0,42.0,3.0,33.3,0.0,Union Berlin,9.0
Manuel Riemann,5.0,0.0,5.0,100.0,1.6,16.0,37.0,0.0,83.8,0.0,Bochum,9.0
Kevin Trapp,7.0,2.0,5.0,71.4,2.2,13.0,47.0,6.0,36.2,3.0,Eintracht Frankfurt,9.0
Oliver Baumann,2.0,0.0,2.0,100.0,0.2,1.0,34.0,4.0,26.5,2.0,Hoffenheim,10.0
Alexander Schwolow,3.0,2.0,1.0,33.3,1.1,6.0,33.0,6.0,36.4,1.0,Hertha BSC,10.0
Mark Flekken,4.0,1.0,3.0,75.0,1.1,9.0,34.0,4.0,44.1,0.0,Freiburg,10.0
Marius Funk,4.0,3.0,3.0,50.0,1.3,4.0,35.0,4.0,34.3,0.0,Greuther Fürth,10.0
Lukáš Hrádecký,8.0,2.0,6.0,75.0,2.2,2.0,23.0,3.0,26.1,0.0,Bayer Leverkusen,10.0
Koen Casteels,0.0,0.0,0.0,0.0,0.7,9.0,21.0,4.0,57.1,0.0,Wolfsburg,10.0
Gregor Kobel,5.0,0.0,5.0,100.0,0.7,6.0,27.0,5.0,51.9,1.0,Dortmund,10.0
Timo Horn,5.0,2.0,3.0,60.0,2.1,4.0,29.0,4.0,34.5,2.0,Köln,10.0
Andreas Luthe,5.0,5.0,1.0,20.0,4.4,4.0,28.0,5.0,57.1,1.0,Union Berlin,10.0
Manuel Neuer,6.0,2.0,4.0,66.7,1.0,8.0,34.0,7.0,32.4,1.0,Bayern Munich,10.0
Stefan Ortega,4.0,2.0,2.0,50.0,2.1,11.0,50.0,4.0,48.0,2.0,Arminia,10.0
Robin Zentner,6.0,1.0,5.0,83.3,1.1,5.0,31.0,11.0,38.7,0.0,Mainz 05,10.0
Kevin Trapp,8.0,1.0,7.0,87.5,2.1,7.0,28.0,3.0,50.0,0.0,Eintracht Frankfurt,10.0
Péter Gulácsi,3.0,1.0,2.0,66.7,0.3,8.0,22.0,2.0,40.9,1.0,RB Leipzig,10.0
Rafał Gikiewicz,3.0,1.0,2.0,66.7,0.6,7.0,30.0,4.0,56.7,0.0,Augsburg,10.0
Fabian Bredlow,10.0,4.0,6.0,60.0,3.6,2.0,22.0,8.0,18.2,0.0,Stuttgart,10.0
Yann Sommer,4.0,1.0,3.0,75.0,0.5,2.0,36.0,2.0,19.4,1.0,Mönchengladbach,10.0
Manuel Riemann,4.0,2.0,2.0,50.0,2.1,12.0,35.0,3.0,68.6,2.0,Bochum,10.0
Robin Zentner,5.0,1.0,4.0,80.0,1.5,2.0,18.0,8.0,22.2,1.0,Mainz 05,11.0
Yann Sommer,8.0,1.0,7.0,87.5,2.5,9.0,31.0,6.0,48.4,0.0,Mönchengladbach,11.0
Manuel Riemann,1.0,0.0,1.0,100.0,0.1,18.0,40.0,2.0,82.5,0.0,Bochum,11.0
Oliver Baumann,4.0,2.0,2.0,50.0,1.4,5.0,61.0,7.0,23.0,3.0,Hoffenheim,11.0
Fabian Bredlow,3.0,1.0,2.0,66.7,0.7,2.0,27.0,6.0,22.2,1.0,Stuttgart,11.0
Stefan Ortega,3.0,0.0,3.0,100.0,0.5,8.0,38.0,1.0,60.5,2.0,Arminia,11.0
Manuel Neuer,3.0,1.0,2.0,66.7,1.3,6.0,46.0,2.0,21.7,2.0,Bayern Munich,11.0
Mark Flekken,11.0,2.0,9.0,81.8,2.6,17.0,27.0,6.0,66.7,1.0,Freiburg,11.0
Koen Casteels,3.0,0.0,3.0,100.0,0.5,10.0,44.0,5.0,47.7,0.0,Wolfsburg,11.0
Rafał Gikiewicz,3.0,1.0,2.0,66.7,0.4,5.0,25.0,3.0,44.0,1.0,Augsburg,11.0
Péter Gulácsi,3.0,1.0,2.0,66.7,0.8,4.0,32.0,5.0,50.0,1.0,RB Leipzig,11.0
Gregor Kobel,6.0,2.0,4.0,66.7,2.2,5.0,30.0,7.0,30.0,1.0,Dortmund,11.0
Alexander Schwolow,4.0,1.0,3.0,75.0,1.3,6.0,30.0,8.0,23.3,0.0,Hertha BSC,11.0
Lukáš Hrádecký,5.0,1.0,4.0,80.0,0.9,3.0,28.0,8.0,17.9,1.0,Bayer Leverkusen,11.0
Timo Horn,3.0,2.0,1.0,33.3,0.8,6.0,40.0,4.0,25.0,1.0,Köln,11.0
Andreas Luthe,6.0,2.0,3.0,66.7,1.4,5.0,17.0,1.0,58.8,0.0,Union Berlin,11.0
Marius Funk,4.0,2.0,2.0,50.0,1.7,12.0,47.0,2.0,57.4,1.0,Greuther Fürth,11.0
Kevin Trapp,2.0,1.0,1.0,50.0,1.4,7.0,26.0,3.0,61.5,0.0,Eintracht Frankfurt,11.0
Rafał Gikiewicz,4.0,1.0,3.0,75.0,0.8,10.0,18.0,1.0,83.3,0.0,Augsburg,12.0
Manuel Neuer,3.0,2.0,1.0,33.3,1.6,2.0,36.0,2.0,11.1,4.0,Bayern Munich,12.0
Oliver Baumann,0.0,0.0,0.0,0.0,0.0,8.0,31.0,3.0,45.2,1.0,Hoffenheim,12.0
Péter Gulácsi,8.0,2.0,6.0,75.0,2.1,2.0,28.0,7.0,7.1,0.0,RB Leipzig,12.0
Gregor Kobel,4.0,1.0,3.0,75.0,1.0,1.0,30.0,4.0,6.7,0.0,Dortmund,12.0
Florian Müller,5.0,2.0,2.0,60.0,2.1,1.0,26.0,6.0,23.1,0.0,Stuttgart,12.0
