player,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,def_actions_outside_pen_area_gk,Team,matchweek
Lukáš Hrádecký,7.0,0.0,7.0,100.0,0.2,7.0,43.0,6.0,53.5,1.0,Bayer Leverkusen,12.0
Manuel Riemann,5.0,1.0,4.0,80.0,1.0,13.0,32.0,5.0,59.4,2.0,Bochum,12.0
Stefan Ortega,5.0,2.0,3.0,60.0,2.7,13.0,27.0,1.0,81.5,0.0,Arminia,12.0
Koen Casteels,2.0,2.0,1.0,50.0,1.8,4.0,28.0,6.0,14.3,3.0,Wolfsburg,12.0
Yann Sommer,1.0,0.0,1.0,100.0,0.0,3.0,32.0,4.0,21.9,0.0,Mönchengladbach,12.0
Marius Funk,11.0,4.0,7.0,63.6,3.2,5.0,34.0,4.0,32.4,0.0,Greuther Fürth,12.0
Andreas Luthe,2.0,0.0,2.0,100.0,0.0,5.0,24.0,6.0,41.7,0.0,Union Berlin,12.0
Alexander Schwolow,5.0,2.0,3.0,60.0,1.4,4.0,22.0,5.0,13.6,1.0,Hertha BSC,12.0
Mark Flekken,7.0,2.0,5.0,71.4,1.7,6.0,37.0,3.0,32.4,0.0,Freiburg,12.0
Kevin Trapp,4.0,0.0,4.0,100.0,0.9,5.0,22.0,5.0,63.6,0.0,Eintracht Frankfurt,12.0
Robin Zentner,5.0,1.0,4.0,80.0,0.6,5.0,33.0,9.0,39.4,0.0,Mainz 05,12.0
Timo Horn,2.0,1.0,1.0,50.0,0.3,8.0,35.0,5.0,54.3,1.0,Köln,12.0
Florian Müller,5.0,1.0,4.0,80.0,1.3,2.0,33.0,12.0,18.2,0.0,Stuttgart,13.0
Robin Zentner,3.0,2.0,1.0,33.3,0.9,4.0,29.0,6.0,27.6,0.0,Mainz 05,13.0
Alexander Schwolow,6.0,1.0,5.0,83.3,1.3,10.0,27.0,3.0,55.6,2.0,Hertha BSC,13.0
Rafał Gikiewicz,4.0,1.0,3.0,75.0,0.4,4.0,23.0,4.0,26.1,1.0,Augsburg,13.0
Pavao Pervan,7.0,3.0,5.0,71.4,2.4,2.0,17.0,5.0,35.3,0.0,Wolfsburg,13.0
Gregor Kobel,7.0,1.0,6.0,85.7,0.9,3.0,15.0,5.0,20.0,1.0,Dortmund,13.0
Manuel Riemann,11.0,1.0,9.0,90.9,3.1,18.0,46.0,5.0,63.0,1.0,Bochum,13.0
Mark Flekken,6.0,2.0,4.0,66.7,1.1,4.0,31.0,7.0,38.7,1.0,Freiburg,13.0
Marvin Schwäbe,5.0,1.0,4.0,80.0,1.2,9.0,28.0,4.0,53.6,0.0,Köln,13.0
Yann Sommer,9.0,4.0,4.0,55.6,3.0,10.0,35.0,4.0,48.6,2.0,Mönchengladbach,13.0
Marius Funk,11.0,6.0,6.0,45.5,5.2,12.0,42.0,7.0,38.1,2.0,Greuther Fürth,13.0
Philipp Pentke,7.0,3.0,4.0,57.1,2.3,4.0,33.0,5.0,30.3,1.0,Hoffenheim,13.0
Manuel Neuer,0.0,0.0,0.0,0.0,0.0,4.0,36.0,9.0,19.4,0.0,Bayern Munich,13.0
Stefan Ortega,10.0,1.0,9.0,90.0,1.2,20.0,30.0,1.0,83.3,0.0,Arminia,13.0
Kevin Trapp,3.0,1.0,3.0,100.0,1.3,6.0,32.0,7.0,50.0,0.0,Eintracht Frankfurt,13.0
Andreas Luthe,3.0,2.0,1.0,33.3,2.1,8.0,36.0,3.0,50.0,1.0,Union Berlin,13.0
Josep Martinez,4.0,3.0,1.0,25.0,1.9,2.0,15.0,1.0,26.7,3.0,RB Leipzig,13.0
Lukáš Hrádecký,3.0,1.0,2.0,66.7,0.8,8.0,27.0,3.0,37.0,0.0,Bayer Leverkusen,13.0
Andreas Luthe,3.0,1.0,2.0,66.7,0.7,9.0,27.0,5.0,55.6,1.0,Union Berlin,14.0
Péter Gulácsi,4.0,2.0,2.0,50.0,2.0,3.0,23.0,2.0,47.8,1.0,RB Leipzig,14.0
Lukáš Hrádecký,3.0,1.0,2.0,66.7,1.0,7.0,27.0,3.0,25.9,1.0,Bayer Leverkusen,14.0
Marius Funk,8.0,7.0,1.0,12.5,4.5,9.0,31.0,1.0,61.3,1.0,Greuther Fürth,14.0
Stefan Ortega,3.0,1.0,2.0,66.7,0.6,16.0,34.0,1.0,73.5,1.0,Arminia,14.0
Marvin Schwäbe,4.0,1.0,3.0,75.0,0.6,5.0,47.0,4.0,12.8,0.0,Köln,14.0
Oliver Baumann,3.0,2.0,1.0,33.3,1.0,5.0,48.0,4.0,37.5,2.0,Hoffenheim,14.0
Kevin Trapp,4.0,3.0,1.0,25.0,2.3,3.0,46.0,6.0,32.6,2.0,Eintracht Frankfurt,14.0
Rafał Gikiewicz,6.0,3.0,3.0,50.0,2.2,11.0,43.0,7.0,41.9,4.0,Augsburg,14.0
Michael Esser,5.0,2.0,4.0,80.0,2.0,8.0,30.0,6.0,50.0,0.0,Bochum,14.0
Robin Zentner,0.0,0.0,0.0,0.0,0.0,6.0,19.0,2.0,57.9,1.0,Mainz 05,14.0
Pavao Pervan,4.0,3.0,2.0,25.0,0.4,3.0,23.0,5.0,34.8,0.0,Wolfsburg,14.0
Gregor Kobel,5.0,3.0,3.0,60.0,2.4,2.0,31.0,10.0,25.8,1.0,Dortmund,14.0
Manuel Neuer,4.0,2.0,2.0,50.0,1.6,7.0,37.0,5.0,37.8,2.0,Bayern Munich,14.0
Florian Müller,6.0,2.0,4.0,66.7,1.4,4.0,29.0,5.0,24.1,0.0,Stuttgart,14.0
Alexander Schwolow,3.0,2.0,1.0,33.3,1.3,4.0,25.0,3.0,24.0,0.0,Hertha BSC,14.0
Yann Sommer,7.0,6.0,1.0,14.3,4.3,4.0,33.0,4.0,21.2,1.0,Mönchengladbach,14.0
Mark Flekken,3.0,0.0,3.0,100.0,0.1,12.0,26.0,3.0,73.1,0.0,Freiburg,14.0
Marvin Schwäbe,4.0,2.0,2.0,50.0,1.2,2.0,38.0,3.0,15.8,2.0,Köln,15.0
Rafał Gikiewicz,3.0,0.0,3.0,100.0,0.3,12.0,27.0,2.0,74.1,1.0,Augsburg,15.0
Alexander Schwolow,0.0,0.0,0.0,0.0,0.0,7.0,31.0,4.0,32.3,1.0,Hertha BSC,15.0
Stefan Ortega,8.0,2.0,6.0,75.0,1.6,11.0,34.0,2.0,58.8,0.0,Arminia,15.0
Manuel Neuer,3.0,1.0,2.0,66.7,1.0,5.0,48.0,9.0,14.6,1.0,Bayern Munich,15.0
Robin Zentner,6.0,2.0,4.0,66.7,1.3,3.0,19.0,9.0,36.8,1.0,Mainz 05,15.0
Mark Flekken,5.0,2.0,3.0,60.0,1.4,14.0,37.0,2.0,56.8,1.0,Freiburg,15.0
Oliver Baumann,5.0,1.0,4.0,80.0,1.7,5.0,47.0,6.0,23.4,1.0,Hoffenheim,15.0
Péter Gulácsi,4.0,1.0,3.0,75.0,1.2,3.0,41.0,7.0,31.7,0.0,RB Leipzig,15.0
Yann Sommer,10.0,4.0,6.0,60.0,4.0,7.0,34.0,4.0,26.5,3.0,Mönchengladbach,15.0
Manuel Riemann,6.0,1.0,5.0,83.3,1.8,11.0,44.0,3.0,65.9,0.0,Bochum,15.0
Gregor Kobel,2.0,1.0,2.0,100.0,0.9,2.0,41.0,9.0,9.8,0.0,Dortmund,15.0
Koen Casteels,3.0,2.0,1.0,33.3,1.4,8.0,31.0,4.0,38.7,4.0,Wolfsburg,15.0
Florian Müller,3.0,0.0,3.0,100.0,0.2,6.0,28.0,2.0,39.3,0.0,Stuttgart,15.0
Sascha Burchert,6.0,0.0,6.0,100.0,0.6,14.0,39.0,2.0,53.8,2.0,Greuther Fürth,15.0
Andreas Luthe,3.0,1.0,2.0,66.7,1.6,3.0,33.0,5.0,12.1,3.0,Union Berlin,15.0
Kevin Trapp,3.0,2.0,2.0,66.7,1.8,7.0,35.0,3.0,48.6,0.0,Eintracht Frankfurt,15.0
Lukáš Hrádecký,7.0,5.0,2.0,28.6,3.7,6.0,31.0,5.0,32.3,0.0,Bayer Leverkusen,15.0
Florian Müller,12.0,5.0,7.0,58.3,3.7,4.0,25.0,5.0,24.0,0.0,Stuttgart,16.0
Manuel Neuer,1.0,0.0,1.0,100.0,0.1,12.0,54.0,4.0,31.5,0.0,Bayern Munich,16.0
Koen Casteels,6.0,3.0,3.0,50.0,2.9,13.0,22.0,6.0,63.6,1.0,Wolfsburg,16.0
Marvin Schwäbe,5.0,2.0,3.0,60.0,1.4,5.0,49.0,4.0,14.3,0.0,Köln,16.0
Stefan Ortega,3.0,0.0,3.0,100.0,0.6,18.0,46.0,1.0,71.7,1.0,Arminia,16.0
Manuel Riemann,4.0,2.0,2.0,50.0,1.8,19.0,48.0,3.0,72.9,1.0,Bochum,16.0
Robin Zentner,1.0,0.0,1.0,100.0,0.2,3.0,19.0,2.0,21.1,1.0,Mainz 05,16.0
Alexander Schwolow,10.0,4.0,6.0,60.0,2.9,3.0,22.0,5.0,31.8,0.0,Hertha BSC,16.0
Yann Sommer,4.0,3.0,1.0,25.0,2.5,7.0,49.0,3.0,32.7,0.0,Mönchengladbach,16.0
Kevin Trapp,7.0,2.0,6.0,85.7,1.6,5.0,32.0,1.0,53.1,0.0,Eintracht Frankfurt,16.0
Lukáš Hrádecký,6.0,2.0,4.0,66.7,1.7,8.0,41.0,6.0,48.8,0.0,Bayer Leverkusen,16.0
Oliver Baumann,9.0,2.0,7.0,77.8,1.9,3.0,38.0,5.0,23.7,1.0,Hoffenheim,16.0
Andreas Luthe,3.0,0.0,3.0,100.0,0.4,9.0,39.0,4.0,53.8,0.0,Union Berlin,16.0
Mark Flekken,4.0,0.0,4.0,100.0,0.7,9.0,40.0,4.0,30.0,0.0,Freiburg,16.0
Gregor Kobel,1.0,0.0,1.0,100.0,0.0,3.0,22.0,2.0,13.6,2.0,Dortmund,16.0
Sascha Burchert,4.0,3.0,2.0,50.0,1.6,10.0,31.0,0.0,83.9,2.0,Greuther Fürth,16.0
Rafał Gikiewicz,3.0,1.0,2.0,66.7,1.5,5.0,31.0,6.0,45.2,0.0,Augsburg,16.0
Péter Gulácsi,0.0,1.0,0.0,0.0,0.9,1.0,34.0,4.0,20.6,2.0,RB Leipzig,16.0
Manuel Neuer,2.0,0.0,2.0,100.0,0.5,3.0,15.0,4.0,13.3,0.0,Bayern Munich,17.0
Koen Casteels,9.0,4.0,5.0,55.6,3.5,4.0,26.0,10.0,26.9,0.0,Wolfsburg,17.0
Manuel Riemann,3.0,1.0,2.0,66.7,1.0,26.0,69.0,3.0,65.2,2.0,Bochum,17.0
Andreas Luthe,3.0,0.0,3.0,100.0,0.3,6.0,33.0,3.0,54.5,0.0,Union Berlin,17.0
Sascha Burchert,4.0,0.0,4.0,100.0,0.9,10.0,30.0,2.0,66.7,3.0,Greuther Fürth,17.0
Rafał Gikiewicz,1.0,0.0,1.0,100.0,0.0,2.0,20.0,5.0,30.0,1.0,Augsburg,17.0
Péter Gulácsi,4.0,2.0,2.0,50.0,1.5,1.0,27.0,3.0,14.8,2.0,RB Leipzig,17.0
Stefanos Kapino,4.0,0.0,4.0,100.0,1.5,8.0,21.0,2.0,52.4,1.0,Arminia,17.0
Oliver Baumann,5.0,1.0,4.0,80.0,1.9,5.0,45.0,3.0,22.2,2.0,Hoffenheim,17.0
Yann Sommer,7.0,1.0,6.0,85.7,2.7,14.0,35.0,4.0,57.1,1.0,Mönchengladbach,17.0
Kevin Trapp,5.0,0.0,5.0,100.0,0.3,9.0,54.0,10.0,51.9,1.0,Eintracht Frankfurt,17.0
Robin Zentner,4.0,1.0,3.0,75.0,1.1,2.0,23.0,5.0,21.7,2.0,Mainz 05,17.0
Alexander Schwolow,4.0,2.0,2.0,50.0,1.4,13.0,29.0,6.0,58.6,1.0,Hertha BSC,17.0
Marwin Hitz,5.0,3.0,2.0,40.0,1.2,2.0,27.0,4.0,22.2,1.0,Dortmund,17.0
Mark Flekken,4.0,1.0,3.0,75.0,1.0,12.0,27.0,3.0,51.9,1.0,Freiburg,17.0
Lukáš Hrádecký,4.0,2.0,3.0,75.0,2.6,6.0,50.0,7.0,34.0,1.0,Bayer Leverkusen,17.0
Marvin Schwäbe,1.0,0.0,1.0,100.0,0.0,8.0,42.0,4.0,26.2,0.0,Köln,17.0
Florian Müller,3.0,1.0,2.0,66.7,1.3,5.0,31.0,7.0,29.0,1.0,Stuttgart,17.0
Sven Ulreich,4.0,2.0,2.0,50.0,2.0,6.0,43.0,6.0,18.6,3.0,Bayern Munich,18.0
Yann Sommer,6.0,1.0,5.0,83.3,1.6,11.0,33.0,3.0,57.6,2.0,Mönchengladbach,18.0
Benjamin Uphoff,5.0,2.0,3.0,60.0,0.6,11.0,37.0,3.0,48.6,1.0,Freiburg,18.0
Stefan Ortega,6.0,2.0,4.0,66.7,2.7,13.0,44.0,1.0,50.0,1.0,Arminia,18.0
Lukáš Hrádecký,7.0,2.0,5.0,71.4,2.6,8.0,24.0,3.0,50.0,0.0,Bayer Leverkusen,18.0
Andreas Luthe,8.0,2.0,6.0,75.0,2.5,8.0,18.0,5.0,61.1,0.0,Union Berlin,18.0
Péter Gulácsi,1.0,1.0,0.0,0.0,0.7,2.0,25.0,4.0,16.0,0.0,RB Leipzig,18.0
Robin Zentner,6.0,4.0,3.0,50.0,3.8,5.0,22.0,5.0,13.6,1.0,Mainz 05,18.0
Oliver Baumann,3.0,1.0,2.0,66.7,0.8,2.0,46.0,8.0,21.7,0.0,Hoffenheim,18.0
Rafał Gikiewicz,5.0,3.0,2.0,40.0,2.6,8.0,45.0,6.0,42.2,1.0,Augsburg,18.0
Sascha Burchert,2.0,0.0,2.0,100.0,0.2,9.0,30.0,8.0,36.7,0.0,Greuther Fürth,18.0
Florian Müller,2.0,0.0,2.0,100.0,0.2,0.0,22.0,1.0,0.0,2.0,Stuttgart,18.0
Kevin Trapp,8.0,3.0,4.0,62.5,2.1,11.0,40.0,3.0,62.5,1.0,Eintracht Frankfurt,18.0
Gregor Kobel,5.0,2.0,3.0,60.0,1.6,2.0,27.0,3.0,0.0,2.0,Dortmund,18.0
Alexander Schwolow,7.0,3.0,4.0,57.1,3.2,9.0,40.0,12.0,40.0,1.0,Hertha BSC,18.0
Marvin Schwäbe,5.0,1.0,4.0,80.0,1.1,3.0,28.0,7.0,7.1,0.0,Köln,18.0
Manuel Riemann,3.0,0.0,3.0,100.0,0.1,23.0,51.0,3.0,70.6,2.0,Bochum,18.0
Koen Casteels,3.0,1.0,2.0,66.7,1.2,18.0,50.0,10.0,62.0,1.0,Wolfsburg,18.0
Gregor Kobel,4.0,1.0,3.0,75.0,1.1,1.0,33.0,3.0,18.2,1.0,Dortmund,19.0
Benjamin Uphoff,7.0,5.0,2.0,28.6,2.3,15.0,33.0,11.0,45.5,1.0,Freiburg,19.0
Florian Müller,2.0,2.0,1.0,50.0,1.6,0.0,25.0,1.0,4.0,4.0,Stuttgart,19.0
Péter Gulácsi,8.0,0.0,8.0,100.0,1.5,9.0,40.0,6.0,35.0,1.0,RB Leipzig,19.0
Andreas Luthe,4.0,1.0,4.0,75.0,1.4,5.0,33.0,2.0,42.4,0.0,Union Berlin,19.0
Oliver Baumann,4.0,2.0,2.0,50.0,1.5,3.0,46.0,7.0,23.9,0.0,Hoffenheim,19.0
Marvin Schwäbe,9.0,4.0,5.0,55.6,3.9,4.0,44.0,5.0,22.7,1.0,Köln,19.0
Manuel Neuer,3.0,0.0,3.0,100.0,1.0,8.0,30.0,2.0,40.0,0.0,Bayern Munich,19.0
Robin Zentner,3.0,0.0,3.0,100.0,1.4,8.0,29.0,8.0,62.1,0.0,Mainz 05,19.0
Manuel Riemann,5.0,1.0,4.0,80.0,1.8,18.0,53.0,3.0,69.8,4.0,Bochum,19.0
Koen Casteels,1.0,0.0,1.0,100.0,0.0,5.0,38.0,6.0,39.5,0.0,Wolfsburg,19.0
Alexander Schwolow,3.0,0.0,3.0,100.0,0.9,4.0,25.0,3.0,32.0,1.0,Hertha BSC,19.0
Yann Sommer,12.0,2.0,10.0,83.3,4.4,9.0,30.0,6.0,66.7,0.0,Mönchengladbach,19.0
Lukáš Hrádecký,6.0,1.0,5.0,83.3,2.1,9.0,42.0,8.0,45.2,0.0,Bayer Leverkusen,19.0
Rafał Gikiewicz,4.0,1.0,3.0,75.0,1.3,8.0,29.0,3.0,41.4,1.0,Augsburg,19.0
Diant Ramaj,4.0,1.0,3.0,75.0,0.9,5.0,36.0,6.0,38.9,2.0,Eintracht Frankfurt,19.0
Stefan Ortega,3.0,2.0,1.0,33.3,1.7,17.0,30.0,1.0,83.3,2.0,Arminia,19.0
Sascha Burchert,5.0,2.0,3.0,60.0,1.8,9.0,40.0,1.0,60.0,2.0,Greuther Fürth,19.0
Kevin Trapp,5.0,2.0,3.0,60.0,2.3,6.0,36.0,3.0,36.1,2.0,Eintracht Frankfurt,20.0
Stefan Ortega,7.0,0.0,7.0,100.0,1.1,10.0,28.0,0.0,85.7,0.0,Arminia,20.0
Lukáš Hrádecký,5.0,1.0,4.0,80.0,1.8,6.0,33.0,4.0,12.1,0.0,Bayer Leverkusen,20.0
Rafał Gikiewicz,12.0,5.0,7.0,58.3,3.8,8.0,26.0,6.0,42.3,0.0,Augsburg,20.0
Yann Sommer,2.0,2.0,1.0,50.0,1.8,7.0,41.0,2.0,36.6,2.0,Mönchengladbach,20.0
Frederik Rønnow,5.0,1.0,4.0,80.0,0.7,5.0,40.0,3.0,50.0,0.0,Union Berlin,20.0
Sascha Burchert,5.0,1.0,4.0,80.0,1.5,14.0,23.0,3.0,73.9,1.0,Greuther Fürth,20.0
Robin Zentner,5.0,2.0,4.0,60.0,1.3,1.0,16.0,5.0,18.8,5.0,Mainz 05,20.0
Oliver Baumann,2.0,3.0,0.0,-50.0,1.8,4.0,47.0,6.0,19.1,2.0,Hoffenheim,20.0
Gregor Kobel,2.0,2.0,0.0,0.0,1.4,4.0,35.0,3.0,28.6,0.0,Dortmund,20.0
Mark Flekken,1.0,0.0,1.0,100.0,0.5,11.0,42.0,2.0,45.2,0.0,Freiburg,20.0
Florian Müller,4.0,2.0,3.0,50.0,0.4,10.0,36.0,4.0,33.3,2.0,Stuttgart,20.0
Manuel Riemann,3.0,2.0,1.0,33.3,1.7,23.0,59.0,4.0,67.8,1.0,Bochum,20.0
Marvin Schwäbe,7.0,2.0,5.0,71.4,1.6,7.0,30.0,5.0,43.3,0.0,Köln,20.0
Péter Gulácsi,3.0,0.0,3.0,100.0,0.4,3.0,18.0,1.0,44.4,0.0,RB Leipzig,20.0
Koen Casteels,3.0,2.0,1.0,33.3,1.6,9.0,30.0,5.0,36.7,0.0,Wolfsburg,20.0
Alexander Schwolow,18.0,4.0,14.0,77.8,5.0,6.0,38.0,10.0,34.2,0.0,Hertha BSC,20.0
Manuel Neuer,2.0,1.0,1.0,50.0,0.4,2.0,27.0,4.0,7.4,1.0,Bayern Munich,20.0
Alexander Schwolow,4.0,1.0,3.0,75.0,1.0,11.0,26.0,5.0,69.2,2.0,Hertha BSC,21.0
Manuel Riemann,3.0,1.0,2.0,66.7,1.3,18.0,55.0,5.0,74.5,0.0,Bochum,21.0
Florian Müller,6.0,3.0,3.0,50.0,1.9,6.0,35.0,7.0,11.4,1.0,Stuttgart,21.0
Kevin Trapp,5.0,2.0,3.0,60.0,1.7,9.0,28.0,8.0,53.6,2.0,Eintracht Frankfurt,21.0
Stefan Ortega,4.0,1.0,3.0,75.0,0.8,13.0,43.0,5.0,62.8,3.0,Arminia,21.0
Yann Sommer,5.0,1.0,4.0,80.0,0.9,6.0,39.0,8.0,38.5,0.0,Mönchengladbach,21.0
Marvin Schwäbe,2.0,0.0,2.0,100.0,0.3,11.0,39.0,1.0,53.8,0.0,Köln,21.0
Mark Flekken,3.0,1.0,2.0,66.7,1.0,7.0,27.0,3.0,59.3,0.0,Freiburg,21.0
Rafał Gikiewicz,4.0,0.0,4.0,100.0,0.8,8.0,27.0,1.0,55.6,0.0,Augsburg,21.0
Andreas Luthe,7.0,2.0,5.0,71.4,1.4,12.0,29.0,5.0,48.3,0.0,Union Berlin,21.0
Robin Zentner,3.0,0.0,3.0,100.0,0.9,5.0,24.0,2.0,37.5,1.0,Mainz 05,21.0
Oliver Baumann,3.0,2.0,2.0,66.7,2.0,1.0,23.0,5.0,17.4,0.0,Hoffenheim,21.0
Manuel Neuer,7.0,2.0,5.0,71.4,2.2,2.0,33.0,4.0,21.2,1.0,Bayern Munich,21.0
Péter Gulácsi,7.0,3.0,5.0,57.1,2.8,2.0,41.0,7.0,19.5,2.0,RB Leipzig,21.0
Gregor Kobel,6.0,5.0,2.0,16.7,3.3,2.0,18.0,3.0,5.6,5.0,Dortmund,21.0
Lennart Grill,6.0,2.0,5.0,66.7,1.1,4.0,36.0,6.0,30.6,0.0,Bayer Leverkusen,21.0
Koen Casteels,3.0,1.0,3.0,100.0,1.2,3.0,31.0,7.0,25.8,0.0,Wolfsburg,21.0
Sascha Burchert,6.0,4.0,1.0,33.3,2.3,4.0,33.0,3.0,36.4,0.0,Greuther Fürth,21.0
Péter Gulácsi,2.0,1.0,1.0,50.0,0.1,7.0,50.0,5.0,26.0,1.0,RB Leipzig,22.0
Marvin Schwäbe,4.0,3.0,1.0,25.0,1.9,9.0,52.0,3.0,19.2,1.0,Köln,22.0
Mark Flekken,5.0,1.0,4.0,80.0,1.8,8.0,34.0,4.0,35.3,4.0,Freiburg,22.0
Robin Zentner,5.0,1.0,4.0,80.0,0.9,11.0,21.0,5.0,61.9,0.0,Mainz 05,22.0
Andreas Linde,7.0,1.0,6.0,85.7,0.9,11.0,29.0,3.0,55.2,0.0,Greuther Fürth,22.0
Alexander Schwolow,4.0,2.0,3.0,75.0,2.0,7.0,12.0,4.0,25.0,0.0,Hertha BSC,22.0
Yann Sommer,5.0,2.0,3.0,60.0,2.2,8.0,51.0,9.0,39.2,1.0,Mönchengladbach,22.0
Rafał Gikiewicz,5.0,3.0,2.0,40.0,3.0,8.0,23.0,2.0,39.1,0.0,Augsburg,22.0
Kevin Trapp,2.0,2.0,1.0,50.0,1.0,6.0,38.0,4.0,39.5,2.0,Eintracht Frankfurt,22.0
Koen Casteels,2.0,0.0,2.0,100.0,0.2,8.0,20.0,5.0,60.0,1.0,Wolfsburg,22.0
Michael Esser,3.0,2.0,1.0,33.3,1.5,7.0,34.0,0.0,64.7,0.0,Bochum,22.0
Sven Ulreich,6.0,4.0,3.0,50.0,2.7,5.0,43.0,5.0,39.5,2.0,Bayern Munich,22.0
Lukáš Hrádecký,5.0,2.0,3.0,60.0,1.3,4.0,29.0,2.0,17.2,3.0,Bayer Leverkusen,22.0
Florian Müller,6.0,4.0,2.0,33.3,2.6,2.0,20.0,7.0,30.0,1.0,Stuttgart,22.0
Andreas Luthe,6.0,3.0,3.0,50.0,1.3,3.0,18.0,4.0,44.4,0.0,Union Berlin,22.0
Gregor Kobel,2.0,0.0,2.0,100.0,0.3,6.0,32.0,8.0,28.1,0.0,Dortmund,22.0
Oliver Baumann,3.0,0.0,3.0,100.0,0.1,4.0,36.0,6.0,33.3,1.0,Hoffenheim,22.0
Stefan Ortega,7.0,2.0,5.0,71.4,1.8,12.0,44.0,6.0,29.5,3.0,Arminia,22.0
Robin Zentner,6.0,2.0,4.0,66.7,2.2,8.0,16.0,5.0,68.8,1.0,Mainz 05,23.0
Lukáš Hrádecký,5.0,3.0,2.0,40.0,2.0,7.0,40.0,6.0,40.0,1.0,Bayer Leverkusen,23.0
Florian Müller,3.0,1.0,3.0,100.0,1.4,11.0,44.0,9.0,45.5,0.0,Stuttgart,23.0
Manuel Riemann,7.0,1.0,7.0,85.7,1.7,13.0,36.0,4.0,66.7,2.0,Bochum,23.0
Stefan Ortega,3.0,0.0,3.0,100.0,0.8,22.0,51.0,2.0,54.9,1.0,Arminia,23.0
Andreas Luthe,3.0,1.0,2.0,66.7,1.5,6.0,38.0,4.0,36.8,0.0,Union Berlin,23.0
Koen Casteels,4.0,2.0,2.0,50.0,2.1,4.0,28.0,6.0,28.6,1.0,Wolfsburg,23.0
Oliver Baumann,6.0,1.0,5.0,83.3,2.1,6.0,41.0,3.0,43.9,3.0,Hoffenheim,23.0
Rafał Gikiewicz,5.0,2.0,3.0,60.0,0.7,7.0,28.0,5.0,42.9,2.0,Augsburg,23.0
Mark Flekken,4.0,1.0,3.0,75.0,0.6,6.0,37.0,3.0,37.8,1.0,Freiburg,23.0
Timo Horn,2.0,0.0,2.0,100.0,0.1,8.0,55.0,3.0,45.5,0.0,Köln,23.0
Kevin Trapp,8.0,1.0,7.0,87.5,1.3,7.0,37.0,4.0,70.3,1.0,Eintracht Frankfurt,23.0
Sven Ulreich,3.0,1.0,2.0,66.7,1.1,1.0,23.0,7.0,4.3,2.0,Bayern Munich,23.0
