,H,D,A
0,0.06,0.91,0.03
1,0.81,0.18,0.01
2,0.91,0.08,0.01
3,0.72,0.28,0.0
4,0.06,0.91,0.03
5,0.6,0.39,0.01
6,0.11,0.86,0.03
7,0.1,0.88,0.02
8,0.76,0.18,0.06
9,0.33,0.5,0.17
10,0.17,0.75,0.08
11,0.75,0.17,0.08
12,0.16,0.78,0.06
13,0.14,0.84,0.02
14,0.1,0.84,0.06
15,0.48,0.4,0.12
16,0.7,0.2,0.1
17,0.19,0.78,0.03
18,0.29,0.51,0.2
19,0.1,0.82,0.08
20,0.06,0.29,0.65
21,0.11,0.84,0.05
22,0.32,0.47,0.21
23,0.24,0.08,0.68
24,0.15,0.76,0.09
25,0.22,0.49,0.29
26,0.09,0.85,0.06
27,0.84,0.11,0.05
28,0.75,0.17,0.08
29,0.76,0.18,0.06
30,0.28,0.55,0.17
31,0.48,0.34,0.18
32,0.15,0.78,0.07
33,0.42,0.32,0.26
34,0.84,0.1,0.06
35,0.85,0.08,0.07
36,0.05,0.87,0.08
37,0.68,0.19,0.13
38,0.15,0.17,0.68
39,0.6,0.27,0.13
40,0.69,0.27,0.04
41,0.13,0.79,0.08
42,0.52,0.2,0.28
43,0.11,0.2,0.69
44,0.17,0.07,0.76
45,0.37,0.4,0.23
46,0.3,0.47,0.23
47,0.11,0.85,0.04
48,0.08,0.89,0.03
49,0.1,0.13,0.77
50,0.13,0.78,0.09
51,0.1,0.13,0.77
52,0.9,0.07,0.03
53,0.78,0.11,0.11
54,0.26,0.13,0.61
55,0.38,0.4,0.22
56,0.54,0.24,0.22
57,0.23,0.53,0.24
58,0.84,0.11,0.05
59,0.07,0.88,0.05
60,0.01,0.94,0.05
61,0.85,0.12,0.03
62,0.19,0.7,0.11
63,0.27,0.54,0.19
64,0.21,0.72,0.07
65,0.89,0.08,0.03
66,0.77,0.14,0.09
67,0.12,0.77,0.11
68,0.19,0.05,0.76
69,0.71,0.16,0.13
70,0.18,0.76,0.06
71,0.73,0.22,0.05
72,0.8,0.08,0.12
73,0.45,0.31,0.24
74,0.07,0.79,0.14
75,0.79,0.14,0.07
76,0.33,0.45,0.22
77,0.1,0.82,0.08
78,0.17,0.45,0.38
79,0.25,0.71,0.04
80,0.77,0.2,0.03
81,0.92,0.06,0.02
82,0.18,0.47,0.35
83,0.04,0.85,0.11
84,0.46,0.44,0.1
85,0.74,0.16,0.1
86,0.75,0.16,0.09
87,0.14,0.12,0.74
88,0.2,0.67,0.13
89,0.07,0.19,0.74
90,0.6,0.29,0.11
91,0.19,0.75,0.06
92,0.76,0.13,0.11
93,0.18,0.77,0.05
94,0.44,0.31,0.25
95,0.1,0.84,0.06
96,0.2,0.75,0.05
97,0.77,0.18,0.05
98,0.05,0.2,0.75
99,0.86,0.06,0.08
100,0.1,0.78,0.12
101,0.57,0.32,0.11
102,0.16,0.77,0.07
103,0.13,0.79,0.08
104,0.62,0.28,0.1
105,0.74,0.15,0.11
106,0.15,0.78,0.07
107,0.15,0.8,0.05
108,0.27,0.41,0.32
109,0.84,0.09,0.07
110,0.32,0.42,0.26
111,0.72,0.16,0.12
112,0.91,0.07,0.02
113,0.09,0.15,0.76
114,0.07,0.23,0.7
115,0.28,0.65,0.07
116,0.75,0.14,0.11
117,0.71,0.19,0.1
118,0.53,0.28,0.19
119,0.15,0.18,0.67
120,0.86,0.1,0.04
121,0.28,0.67,0.05
122,0.2,0.1,0.7
123,0.77,0.18,0.05
124,0.18,0.16,0.66
125,0.17,0.12,0.71
126,0.16,0.63,0.21
127,0.0,0.87,0.13
128,0.11,0.8,0.09
129,0.82,0.1,0.08
130,0.12,0.1,0.78
131,0.17,0.1,0.73
132,0.07,0.8,0.13
133,0.82,0.13,0.05
134,0.07,0.79,0.14
135,0.67,0.26,0.07
136,0.84,0.07,0.09
137,0.15,0.18,0.67
138,0.74,0.15,0.11
139,0.06,0.17,0.77
140,0.68,0.19,0.13
141,0.68,0.3,0.02
142,0.08,0.87,0.05
143,0.82,0.08,0.1
144,0.18,0.11,0.71
145,0.24,0.05,0.71
146,0.07,0.22,0.71
147,0.07,0.3,0.63
148,0.41,0.44,0.15
149,0.05,0.8,0.15
150,0.79,0.07,0.14
151,0.13,0.09,0.78
152,0.13,0.79,0.08
153,0.84,0.09,0.07
154,0.04,0.29,0.67
155,0.19,0.78,0.03
156,0.83,0.15,0.02
157,0.33,0.46,0.21
158,0.83,0.09,0.08
159,0.2,0.11,0.69
160,0.03,0.86,0.11
161,0.08,0.82,0.1
162,0.08,0.86,0.06
163,0.75,0.12,0.13
164,0.74,0.14,0.12
165,0.02,0.87,0.11
166,0.15,0.72,0.13
167,0.86,0.13,0.01
168,0.62,0.18,0.2
169,0.1,0.12,0.78
170,0.29,0.68,0.03
171,0.22,0.69,0.09
172,0.88,0.06,0.06
173,0.28,0.6,0.12
174,0.84,0.13,0.03
175,0.09,0.79,0.12
176,0.13,0.2,0.67
177,0.91,0.06,0.03
178,0.81,0.13,0.06
179,0.89,0.1,0.01
180,0.66,0.26,0.08
181,0.77,0.18,0.05
182,0.03,0.93,0.04
183,0.31,0.67,0.02
184,0.81,0.09,0.1
185,0.06,0.79,0.15
186,0.17,0.79,0.04
187,0.04,0.82,0.14
188,0.03,0.82,0.15
189,0.66,0.18,0.16
190,0.15,0.12,0.73
191,0.11,0.06,0.83
192,0.12,0.08,0.8
193,0.25,0.73,0.02
194,0.28,0.56,0.16
195,0.14,0.83,0.03
196,0.74,0.14,0.12
197,0.75,0.2,0.05
198,0.1,0.15,0.75
199,0.07,0.22,0.71
200,0.08,0.87,0.05
201,0.86,0.05,0.09
202,0.2,0.78,0.02
203,0.03,0.88,0.09
204,0.66,0.18,0.16
205,0.79,0.1,0.11
206,0.77,0.19,0.04
207,0.87,0.1,0.03
208,0.3,0.36,0.34
209,0.05,0.86,0.09
210,0.3,0.54,0.16
211,0.19,0.77,0.04
212,0.18,0.74,0.08
213,0.14,0.78,0.08
214,0.13,0.82,0.05
215,0.74,0.17,0.09
216,0.19,0.15,0.66
217,0.8,0.13,0.07
218,0.07,0.2,0.73
219,0.25,0.07,0.68
220,0.86,0.05,0.09
221,0.08,0.2,0.72
222,0.08,0.75,0.17
223,0.07,0.83,0.1
224,0.9,0.1,0.0
225,0.7,0.2,0.1
226,0.07,0.79,0.14
227,0.51,0.33,0.16
228,0.16,0.16,0.68
229,0.29,0.52,0.19
230,0.05,0.18,0.77
231,0.8,0.14,0.06
232,0.42,0.32,0.26
233,0.87,0.08,0.05
234,0.66,0.2,0.14
235,0.15,0.17,0.68
236,0.03,0.85,0.12
237,0.69,0.22,0.09
238,0.15,0.66,0.19
239,0.65,0.14,0.21
240,0.26,0.71,0.03
241,0.8,0.09,0.11
242,0.43,0.43,0.14
243,0.09,0.73,0.18
244,0.24,0.56,0.2
245,0.9,0.08,0.02
246,0.49,0.36,0.15
247,0.76,0.16,0.08
248,0.82,0.15,0.03
249,0.62,0.26,0.12
250,0.39,0.49,0.12
251,0.09,0.12,0.79
252,0.14,0.11,0.75
253,0.22,0.76,0.02
254,0.83,0.09,0.08
255,0.19,0.12,0.69
256,0.07,0.78,0.15
257,0.81,0.14,0.05
258,0.58,0.31,0.11
259,0.09,0.29,0.62
260,0.76,0.12,0.12
261,0.21,0.47,0.32
262,0.3,0.37,0.33
263,0.05,0.83,0.12
264,0.12,0.78,0.1
265,0.19,0.4,0.41
266,0.54,0.34,0.12
267,0.13,0.14,0.73
268,0.07,0.82,0.11
269,0.11,0.31,0.58
270,0.13,0.72,0.15
271,0.13,0.79,0.08
272,0.87,0.08,0.05
273,0.74,0.13,0.13
274,0.8,0.16,0.04
275,0.79,0.12,0.09
276,0.16,0.08,0.76
277,0.04,0.23,0.73
278,0.82,0.12,0.06
279,0.25,0.67,0.08
280,0.1,0.7,0.2
281,0.12,0.78,0.1
282,0.78,0.09,0.13
283,0.72,0.14,0.14
284,0.78,0.17,0.05
285,0.2,0.48,0.32
286,0.2,0.71,0.09
287,0.71,0.15,0.14
288,0.21,0.11,0.68
289,0.11,0.81,0.08
290,0.23,0.7,0.07
291,0.8,0.13,0.07
292,0.2,0.58,0.22
293,0.09,0.88,0.03
294,0.77,0.12,0.11
295,0.07,0.18,0.75
296,0.8,0.12,0.08
297,0.84,0.1,0.06
298,0.24,0.12,0.64
299,0.04,0.84,0.12
300,0.03,0.83,0.14
301,0.22,0.73,0.05
302,0.78,0.15,0.07
303,0.07,0.88,0.05
304,0.09,0.8,0.11
305,0.76,0.18,0.06
306,0.1,0.82,0.08
307,0.22,0.6,0.18
308,0.7,0.18,0.12
309,0.02,0.2,0.78
310,0.08,0.17,0.75
311,0.3,0.4,0.3
312,0.72,0.21,0.07
313,0.19,0.07,0.74
314,0.86,0.09,0.05
315,0.04,0.15,0.81
316,0.58,0.26,0.16
317,0.62,0.25,0.13
318,0.21,0.58,0.21
319,0.84,0.11,0.05
320,0.2,0.72,0.08
321,0.73,0.23,0.04
322,0.06,0.9,0.04
323,0.77,0.18,0.05
324,0.24,0.73,0.03
325,0.28,0.46,0.26
326,0.27,0.11,0.62
327,0.9,0.09,0.01
328,0.02,0.27,0.71
329,0.07,0.89,0.04
330,0.79,0.14,0.07
331,0.88,0.07,0.05
332,0.1,0.85,0.05
333,0.09,0.84,0.07
334,0.93,0.04,0.03
335,0.11,0.17,0.72
336,0.08,0.8,0.12
337,0.34,0.66,0.0
338,0.71,0.14,0.15
339,0.16,0.77,0.07
340,0.11,0.86,0.03
341,0.86,0.11,0.03
342,0.4,0.39,0.21
343,0.11,0.76,0.13
344,0.11,0.82,0.07
345,0.82,0.1,0.08
346,0.13,0.74,0.13
347,0.13,0.77,0.1
348,0.76,0.14,0.1
349,0.1,0.79,0.11
350,0.23,0.49,0.28
351,0.14,0.79,0.07
352,0.08,0.81,0.11
353,0.07,0.8,0.13
354,0.88,0.08,0.04
355,0.05,0.22,0.73
356,0.76,0.06,0.18
357,0.75,0.17,0.08
358,0.13,0.5,0.37
359,0.3,0.66,0.04
360,0.29,0.06,0.65
361,0.1,0.82,0.08
362,0.7,0.16,0.14
363,0.43,0.34,0.23
364,0.77,0.16,0.07
365,0.8,0.09,0.11
366,0.21,0.75,0.04
367,0.3,0.35,0.35
368,0.17,0.4,0.43
369,0.02,0.88,0.1
370,0.82,0.12,0.06
371,0.77,0.11,0.12
372,0.1,0.83,0.07
373,0.9,0.06,0.04
374,0.4,0.33,0.27
375,0.86,0.1,0.04
376,0.42,0.41,0.17
377,0.8,0.15,0.05
378,0.85,0.11,0.04
379,0.1,0.79,0.11
