,
Player,Squad
,
Adrián\f76e6b4e,Liverpool
Rúnar Alex Rúnarsson\8fa8f8d2,Arsenal
Alisson\7a2e46a8,Liverpool
Alphonse Areola\2f965a72,Fulham
Kepa Arrizabalaga\28d596a0,Chelsea
Jack Butland\cc70a1d5,Crystal Palace
David Button\e608ed4c,West Brom
Willy Caballero\a179d516,Chelsea
Scott Carson\3e1550ee,Manchester City
Kiko Casilla\58bc7d18,Leeds United
Karl Darlow\cde3309f,Newcastle Utd
Martin Dúbravka\3a949a25,Newcastle Utd
Ederson\3bb7b8b4,Manchester City
Łukasz Fabiański\9328b835,West Ham
Fraser Forster\c3e39f12,Southampton
David de Gea\7ba6d84e,Manchester Utd
Vicente Guaita\ab13a5aa,Crystal Palace
Dean Henderson\e5a76dfe,Manchester Utd
Sam Johnstone\9e5708be,West Brom
Caoimhín Kelleher\62d7ef38,Liverpool
Bernd Leno\2628fd2b,Arsenal
Hugo Lloris\8f62b6ee,Tottenham
Emiliano Martínez\7956236f,Aston Villa
Alex McCarthy\36c2ca73,Southampton
Edouard Mendy\33887998,Chelsea
Illan Meslier\6b625ac2,Leeds United
Will Norris\c73ada83,Burnley
Robin Olsen\e7ee38c3,Everton
Rui Patrício\79b0d6a0,Wolves
Bailey Peacock-Farrell\4879f8cb,Burnley
Jordan Pickford\4806ec67,Everton
Nick Pope\4b40d9ca,Burnley
Aaron Ramsdale\466fb2c5,Sheffield Utd
Darren Randolph\6385ebfb,West Ham
Marek Rodák\17acc2ed,Fulham
John Ruddy\da8b19e2,Wolves
Mathew Ryan\4535e4bb,Brighton
Mathew Ryan\4535e4bb,Arsenal
Robert Sánchez\6a713852,Brighton
Kasper Schmeichel\53af52f3,Leicester City
Zack Steffen\42130443,Manchester City
João Virgínia\728e9b2e,Everton